name,years,genre,nationality,paintings
Albrecht_Dürer,1471 - 1528,Northern Renaissance,German,328
Alfred_Sisley,1839 - 1899,Impressionism,"French,British",259
Amedeo_Modigliani,1884 - 1920,Expressionism,Italian,193
Andrei_Rublev,1360 - 1430,Byzantine Art,Russian,99
Andy_Warhol,1928 – 1987,Pop Art,American,181
Camille_Pissarro,1830 - 1903,"Impressionism,Post-Impressionism",French,91
Caravaggio,1571 - 1610,Baroque,Italian,55
Claude_Monet,1840 - 1926,Impressionism,French,73
Diego_Rivera,1886 - 1957,"Social Realism,Muralism",Mexican,70
Diego_Velazquez,1599 - 1660,Baroque,Spanish,128
Edgar_Degas,1834 - 1917,Impressionism,French,702
Edouard_Manet,1832 - 1883,"Realism,Impressionism",French,90
Edvard_Munch,1863 - 1944,"Symbolism,Expressionism",Norwegian,67
El_Greco,1541 - 1614,Mannerism,"Spanish,Greek",87
Eugene_Delacroix,1798 – 1863,Romanticism,French,31
Francisco_Goya,1746 - 1828,Romanticism,Spanish,291
Frida_Kahlo,1907 - 1954,"Primitivism,Surrealism",Mexican,120
Georges_Seurat,1859 – 1891,Post-Impressionism,French,43
Giotto_di_Bondone,1266 - 1337,Proto Renaissance,Italian,119
Gustav_Klimt,1862 - 1918,"Symbolism,Art Nouveau",Austrian,117
Gustave_Courbet,1819 - 1877,Realism,French,59
Henri_Matisse,1869 - 1954,"Impressionism,Post-Impressionism",French,186
Henri_Rousseau,1844 – 1910,Primitivism,French,70
Henri_de_Toulouse-Lautrec,1864 – 1901,Post-Impressionism,French,81
Hieronymus_Bosch,1450 - 1516,Northern Renaissance,Dutch,137
Jackson_Pollock,1912 – 1956,Abstract Expressionism,American,24
Jan_van_Eyck,1395 - 1441,Northern Renaissance,Flemish,81
Joan_Miro,1893 – 1983,Surrealism,Spanish,102
Kazimir_Malevich,1879 - 1935,Suprematism,Russian,126
Leonardo_da_Vinci,1452 - 1519,High Renaissance,Italian,143
Marc_Chagall,1887 - 1985,Primitivism,"French,Jewish,Belarusian",239
Michelangelo,1475 – 1564,High Renaissance,Italian,49
Mikhail_Vrubel,1856 - 1910,Symbolism,Russian,171
Pablo_Picasso,1881 - 1973,Cubism,Spanish,439
Paul_Cezanne,1839 – 1906,Post-Impressionism,French,47
Paul_Gauguin,1848 – 1903,"Symbolism,Post-Impressionism",French,311
Paul_Klee,1879 – 1940,"Expressionism,Abstractionism,Surrealism","German,Swiss",188
Peter_Paul_Rubens,1577 - 1640,Baroque,Flemish,141
Pierre-Auguste_Renoir,1841 - 1919,Impressionism,French,336
Piet_Mondrian,1872 – 1944,Neoplasticism,Dutch,84
Pieter_Bruegel,1525 - 1569,Northern Renaissance,Flemish,134
Raphael,1483 – 1520,High Renaissance,Italian,109
Rembrandt,1606 - 1669,Baroque,Dutch,262
Rene_Magritte,1898 - 1967,"Surrealism,Impressionism",Belgian,194
Salvador_Dali,1904 - 1989,Surrealism,Spanish,139
Sandro_Botticelli,1445 - 1510,Early Renaissance,Italian,164
Titian,1488 - 1576,"High Renaissance,Mannerism",Italian,255
Vasiliy_Kandinskiy,1866 - 1944,"Expressionism,Abstractionism",Russian,88
Vincent_van_Gogh,1853 – 1890,Post-Impressionism,Dutch,877
William_Turner,1775 - 1851,Romanticism,British,66
